gene_id,Old-1,Old-2,Old-3,Young-1,Young-2,Young-3
TRNP,2178,4136,789,8108,3804,9830
TRNT,8,4,1,6,4,14
CYTB,80501,112579,38006,248815,92064,243575
TRNE,3,2,1,6,1,6
ND6,19486,47296,12736,69813,24914,49862
ND5,37749,138417,32923,139313,112315,167053
TRNL2,0,2,0,0,2,7
TRNS2,0,0,0,0,1,1
TRNH,4,0,0,3,3,0
ND4,204290,327594,116493,813209,267396,680153
ND4L,61178,50715,33797,298857,53458,135055
TRNR,1,1,0,1,1,0
ND3,6075,4469,4400,10363,7584,7105
TRNG,2,3,0,0,1,8
COX3,159418,288697,94009,329445,189497,371294
ATP6,83050,154043,39493,209442,85239,232678
ATP8,1484,1164,313,2314,708,1354
TRNK,0,0,0,0,0,0
COX2,296984,344622,99702,907599,205393,655337
TRND,1,2,4,6,2,6
TRNS1,0,0,0,0,0,0
COX1,276680,544976,178265,987769,423566,1036515
TRNY,5,1,0,2,1,0
TRNC,3,4,3,3,3,10
TRNN,0,0,0,0,0,0
TRNA,1,0,0,0,0,0
TRNW,0,1,0,0,0,1
ND2,73630,199956,35919,202742,118604,244731
TRNM,13,3,0,2,1,6
TRNQ,0,0,0,0,0,0
TRNI,1,0,0,1,0,0
ND1,76204,206946,52626,175958,119750,242538
TRNL1,10,1,2,3,8,17
RNR2,256335,388188,191502,389434,425285,429280
TRNV,33,23,9,16,53,52
RNR1,84620,81220,56970,152585,154941,83853
TRNF,22,30,23,11,36,71
LILRP2,0,0,0,0,0,0
KIR3DL3,0,0,0,0,0,0
KIR2DS2,0,0,0,0,0,0
KIR2DL2,0,0,0,0,0,0
KIR3DP1,0,0,0,0,0,0
KIR2DL4,0,0,0,0,0,0
KIR3DS1,0,0,0,0,0,0
KIR2DL5A,0,0,0,0,0,0
KIR2DS5,0,0,0,0,0,0
KIR2DS1,0,0,0,0,0,0
KIR3DL2,0,0,0,0,0,0
KIR2DL3,0,0,0,0,0,0
KIR2DP1,0,0,0,0,1,0
LOC101928804,0,0,0,0,0,0
KIR2DL1,0,0,0,0,0,0
KIR3DL1,0,0,0,0,0,0
KIR2DS4,0,0,0,0,0,0
RNU6-222P,0,0,0,0,0,0
KIR2DL5B,0,0,0,0,0,0
NCR1,0,0,0,0,0,0
FCAR,0,0,0,0,0,0
LOC102725023,0,0,0,0,0,0
KIR2DS3,0,0,0,0,0,0
EPS8L1,0,12,0,46,0,0
RDH13,0,1,0,0,0,0
GP6,0,0,0,0,0,0
GP6-AS1,0,0,0,0,4,0
RPL36AP50,0,0,0,0,0,0
NLRP2,66,5,53,70,3,20
NLRP7,166,196,231,44,403,93
LILRP1,0,0,0,0,0,0
LILRB4,0,0,0,1,0,0
VN1R105P,0,0,0,0,0,0
MIR8061,0,0,0,0,0,0
LILRB1,0,0,0,0,0,0
LILRA1,0,0,0,0,0,0
LILRA2,0,0,0,0,0,0
LOC107985347,0,0,0,0,0,0
LOC105372461,0,0,0,0,0,0
KIR3DX1,0,0,0,0,0,0
LOC105372460,0,0,1,0,0,0
LAIR2,0,0,0,0,0,0
CDC42EP5,0,0,0,0,0,0
LENG9,0,0,0,0,0,0
LENG8,0,0,0,0,0,0
LENG8-AS1,0,0,0,0,0,0
TTYH1,0,0,0,0,0,0
LAIR1,0,0,0,0,1,1
LILRA4,0,0,0,0,0,0
VN1R104P,0,0,0,0,0,0
LILRA5,0,0,0,0,0,0
LILRA3,0,0,0,0,0,0
MIR4752,0,0,0,0,0,0
LILRB2,0,0,0,0,0,0
LOC100420187,0,0,0,0,0,0
RNU6-1307P,0,0,0,0,0,0
LILRB5,5,0,0,0,0,0
LOC107987463,0,0,0,0,0,0
LILRA6,0,0,0,0,0,0
