"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1110002J07Rik",647.535568142373,-0.976241211180466,0.126522880859481,-7.71592619887231,1.2010679859573e-14,3.88619028012845e-13
"1110046J04Rik",166.06612985995,-0.617328768641337,0.222174240888344,-2.77857939864226,0.00545971683961932,0.0200766087289488
"1190028D05Rik",54.6251217940829,-1.67818791174936,0.404813112240647,-4.14558684243344,3.38944507054848e-05,0.000231838935371947
"1700003E16Rik",24.2254725031976,-1.61337092593189,0.605004467462952,-2.66670911158302,0.00765979378657898,0.0267918725610354
"1700012B07Rik",18.9898115251747,-1.61511257396494,0.668302973084326,-2.41673707736318,0.0156603243480467,0.0486132709889414
"1700013H16Rik",764.077730283945,-4.06180414044393,0.156157587644972,-26.0109303793712,3.72530388937438e-149,7.74118148211996e-145
"1700016K19Rik",94.5220095212044,-0.736969804244633,0.300563419520249,-2.45196107171313,0.0142080031839527,0.0449516300491074
"1700018B24Rik",464.250834546272,-0.887029563353944,0.146994669146047,-6.0344335512782,1.59521253764828e-09,2.51669830059298e-08
"1700019A02Rik",84.2139852531846,-1.30903090354433,0.316717329977095,-4.13312054518456,3.57870907058048e-05,0.000242945359316114
"1700019E08Rik",31.6182275776107,-2.34214420287772,0.561427639408777,-4.17176504766342,3.02249208868958e-05,0.000209497617087957
"1700020N01Rik",57.5526957827296,-1.52722994372622,0.386175235853874,-3.95475888128702,7.66118763384197e-05,0.000477216663762698
"1700025F24Rik",11.1800595446164,-2.61449497489001,0.961408398762131,-2.71944262007314,0.00653920394279947,0.0234769623240105
"1700029P11Rik",308.456780440409,-1.06606628221734,0.17085163840273,-6.23971939738978,4.38356526438223e-10,7.56565499949026e-09
"1700052K11Rik",79.2317106886857,-1.51712791133453,0.332300612687511,-4.56552848056652,4.98237543463507e-06,4.07613234376837e-05
"1700080O16Rik",33.1851075079111,-3.71816134927191,0.651029778033254,-5.71120012436972,1.12182231732636e-08,1.53364919434485e-07
"2210016F16Rik",1095.08424898782,-0.675015555783849,0.0960683842550792,-7.02640687691342,2.11919902840663e-12,5.05010961127176e-11
"2210409E12Rik",37.6877919068639,-2.33849899370605,0.513815421781258,-4.55124329588845,5.33298364277945e-06,4.34075206020199e-05
