"Row.names","log2FoldChange"
"Cphx2",7.17603258422046
"Cphx3",7.17603258422046
"Gm18258",3.42315897070861
"Myl3",3.40708155368606
"Gm47465",3.02371825372285
"Zmynd10",3.022074385982
"Gm6793",2.98492416606753
"Dll1",2.72601077825882
"Gm34106",2.72437962528438
"Gm37691",2.66522516621683
"Trim15",2.63907463895126
"Gm19327",2.63801084003793
"Klk1",2.61402179685795
"Eln",2.50091888385141
"Gm35853",2.4893892464223
"E130215H24Rik",2.46200140573621
"Bcl11a",2.38858556383279
"Cdh22",2.38553824335203
"Tmem211",2.37753656869665
"Meiob",2.37649842773677
"Krt80",2.37556894518432
"4930442L01Rik",2.35877714972409
"Grin2c",2.32138542687326
"Gm16477",2.30747323292708
"Akain1",2.28838638778768
"Gm36738",2.27462703838906
"Rn7s1",2.23244823459546
"Gm47287",2.21016742598616
"Gm47305",2.21016742598616
"Tmem145",2.20669720312439
"Tspo2",2.1967155277272
"Gm10629",2.18461498337875
"Gm10286",2.1781985545492
"Gm25911",2.16490423718725
"Ntn1",2.16069907780178
"Gm45847",2.16048775545487
"Cpt1b",2.15685147730057
"Gm29895",2.13954539547189
"2610528J11Rik",2.1291373924724
"Dnah8",2.12584800613702
"Fn3k",2.10912383992202
"1700097N02Rik",2.08418146276517
"Atp1a2",2.07299248880793
"Mir670hg",2.05331956045494
"9430069I07Rik",2.0504504655624
"Acss1",2.04887300136521
"Ucp1",2.02035441132088
"Gm12111",2.00364503549579
"Gpx2",1.98992512834151
"Gm47552",1.98837899270834
"BC024139",1.97504787098802
"Gm43820",1.97338579317621
"Gm4869",1.95742440480371
"Rorc",1.95367356561961
"Rgcc",1.94577418948634
"Gm47343",1.92520626947199
"4930538E20Rik",1.92163412447056
"Gm42921",1.9049588132185
"Abcg1",1.90493524300682
"Gm29719",1.89372670770333
"Gm14268",1.8889998795951
"Gm19605",1.8886715365782
"Lrrc4b",1.88820791639036
"Gm16401",1.86268543891559
"Rpl17-ps8",1.85706190756025
"Gm7942",1.84914658311073
"Gna14",1.83413813888268
"Gm9937",1.82098079808995
"Gm13920",1.81994057224805
"1700030O20Rik",1.81979068775407
"Pdxk-ps",1.81828258057457
"2210039B01Rik",1.80007189899847
"Ms4a14",1.79727065960408
"Nccrp1",1.77616614383315
"Mag",1.77211974409562
"Gm15462",1.77095153880176
"Gm10169",1.76367479480217
"Adgrg1",1.75779600246802
"Dclk1",1.75630931390338
"9530056K15Rik",1.7544183739081
"2810030D12Rik",1.75144762443943
"Spatc1",1.75120648050326
"Cnn1",1.74443451324332
"Krt7",1.74363369578793
"Crabp2",1.74017001285549
"Gm10385",1.73084131169435
"Lmcd1",1.71911741140987
"Gm13217",1.71714150697872
"Rgl3",1.70183568266997
"Igfbp4",1.69129140753572
"Prtn3",1.68929930602047
"H2-Q2",1.67556832822231
"Actn3",1.67272544151171
"Fxyd1",1.66405449243822
"Scg5",1.66405234217393
"Misp",1.65900289614086
"Tgm3",1.65672469538337
"Gm10136",1.6557456929876
"C530043K16Rik",1.65288382452635
"Gm906",1.65012475321164
"Slc22a18",1.64058970749934
"Rab3il1",1.63803852145781
"Gm11734",1.63576010641961
"Has2",1.63162825270131
"Pdzk1",1.62080547987656
"Slco4a1",1.619711653619
"Ddx60",1.61295257628297
"Ebi3",1.61222047833171
"Nphs1",1.60506963250671
"Hrh3",1.59558924795692
"6720483E21Rik",1.59540167728419
"Trim29",1.59521155535241
"Hes7",1.58939003254331
"Arsi",1.58622074852642
"Parvaos",1.58586993601729
"Rac2",1.58351625120461
"Gm3800",1.57684233350517
"4930412L05Rik",1.57503244857974
"Trim50",1.57497627360337
"Abcc12",1.57333628245974
"Ecscr",1.5681014698755
"Plxdc1",1.56701915358045
"Camk2n1",1.56253295963502
"Ltb",1.55475844727463
"Gm40709",1.55462354126592
"Syt13",1.55321226504559
"Gstm3",1.55079926034356
"Sytl3",1.54707617835278
"Gm30018",1.54475668993689
"Gm2164",1.54464814445516
"Gm26644",1.54365144045104
"Lrrc31",1.54273308703573
"Havcr2",1.53806133871544
"Cdx1",1.53080360912869
"Cdh10",1.52513820252724
"Kif1a",1.52227317310732
"Rasgrp1",1.51659573805478
"Lrrc51",1.5164819289215
"Gm37711",1.51615329256019
"Gad1",1.51334492608633
"Pygm",1.51260967659443
"Myo3b",1.51174185246948
"Slco2b1",1.51163005989248
"Eno2",1.50872117956643
"Pmp22",1.50482888692253
"Kctd19",1.50327778682626
"Frem2",1.49731702528786
"Gm30717",1.49475254784288
"Spib",1.49336815585168
"4732419C18Rik",1.48650823630926
"Gm47138",1.48622831384577
"Gm50242",1.48286229166778
"Copz2",1.47957445521406
"Fgf11",1.47816052456949
"Dlx4",1.47768157405032
"Fgf8",1.47646735668827
"Hist1h2ab",1.46193121934419
"Exoc3l2",1.45442165055811
"Tal2",1.45378979368058
"Vrtn",1.45076675509145
"Slc46a3",1.44830161795471
"Nrcam",1.44685135708398
"Ano4",1.44641599019481
"Aym1",1.43748733847998
"Serpina3i",1.43408576430827
"Lst1",1.43223193996954
"Kcnk18",1.43152980357899
"mt-Tt",1.42893004231581
"Scnn1a",1.42512851367159
"Fxyd3",1.42313893080307
"Kirrel2",1.40716124958847
"Mfsd13a",1.40232046729162
"Gm12657",1.39934115686557
"Adam2",1.39653667925983
"Zfp853",1.39586317149547
"mt-Tr",1.39277962571237
"C130026L21Rik",1.39175941374326
"Aox2",1.3908540493284
"Rapgef3os2",1.3884724562637
"Nphs1os",1.37976077632272
"Gm23115",1.37880265877893
"Tnfaip8l3",1.37613980107459
"Chil1",1.37490184568176
"Macrod1",1.37409290897302
"Gm14169",1.37403279548111
"Gpr68",1.3704262375043
"Gm35549",1.36691441751883
"Gm37274",1.36631440368189
"Gmfg",1.36334816363549
"Ccdc194",1.3628408330855
"Lrtm2",1.3555871743818
"Gm12403",1.35196892608704
"Gm11725",1.34894013663157
"C230037L18Rik",1.34891799973954
"Gm16143",1.34836527974466
"Gfra2",1.34662502316941
"Gm39119",1.34644048556973
"Tmem254a",1.34567240209534
"Tulp1",1.34542955655621
"Gm26577",1.34203235916112
"AL831766.1",1.33962548191809
"Gm43615",1.33742873860276
"Celrr",1.33566388470261
"Npy1r",1.33491832557052
"Ndufa4l2",1.33312091897804
"Mir6999",1.33146991940371
"Gm12247",1.33138684185716
"Gm49353",1.3284205254236
"Ephx2",1.32820084738832
"Myb",1.32749611083663
"Gm14455",1.32736685804431
"Fgfbp3",1.32613502881545
"Sytl1",1.32486566983285
"Ptk6",1.32366435504558
"Osbpl6",1.32318025632957
"Arhgef28",1.31960182018699
"Pcsk9",1.31823850671913
"Olfr1344",1.31767013306333
"Unc5a",1.31640263448489
"Gm13292",1.31506129983237
"Gdap1l1",1.31236476368929
"Prom1",1.30553407735786
"Ppil6",1.30456807365295
"Cldn7",1.29956692479004
"Pdpn",1.29724238526642
"Slc6a7",1.29679634233219
"S100a1",1.29675698438203
